Model_ID,ICA_CE_Radius,MCA_CE_Radius,ACA_CE_Radius,Murray_Deviation_Percent,Murray_Exponent_k_minimize,Murray_Exponent_k_root
ct_042_R,1.95429625,1.4553595,0.9981749999999998,45.377,1.51772,1.51772
ct_043_L,1.531145,1.2717615,0.7676509999999999,30.096,1.81377,1.81377
ct_043_R,1.5364967500000002,1.1673934999999998,0.7274387499999999,45.529,1.47206,1.47206
ct_044_L,2.083817,1.17074,1.28199875,58.981,1.30825,1.30825
ct_045_L,2.0052395,1.78772075,0.72669575,24.381,1.70274,1.70274
ct_045_R,2.529988,1.69268575,1.56036825,46.592,1.57071,1.57071
ct_046_L,1.930371,1.353216,0.8948180000000001,55.59,1.29648,1.29648
ct_046_R,1.657603,1.1870705,0.89758925,47.395,1.5101,1.5101
ct_047_L,1.606176,1.378254,0.99348125,13.151,2.43244,2.43243
ct_048_L,2.0983689285714284,1.5413645,1.24466975,39.496,1.70859,1.70859
ct_048_R,1.85894975,1.26077975,1.0794609999999998,49.223,1.50227,1.50227
ct_049_L,2.212581,2.13971625,1.3007065,-10.758,3.9368,3.9368
ct_049_R,2.36225275,1.995671,1.1779965,27.303,1.87562,1.87562
ct_050_L,1.712642,1.43860925,0.88846125,26.77,1.9172,1.91719
ct_050_R,2.5012603571428573,1.2769730000000004,1.1408032499999998,77.206,0.95321,0.95321
ct_051_L,1.4138115,1.1054704999999998,0.636355,43.077,1.48396,1.48396
ct_051_R,1.3958315,1.115109,1.0118630000000002,10.919,2.56629,2.56629
ct_052_L,1.5667164999999998,1.1882045,0.964525,33.045,1.86974,1.86974
ct_052_R,1.5003535,1.361287,0.6153540000000001,18.41,1.96315,1.96315
ct_053_L,1.9709955,1.549447,0.9108425,41.549,1.5274,1.5274
ct_053_R,1.9424965,1.5893495,1.0141744999999998,30.994,1.82143,1.82143
ct_054_L,2.38212425,1.7053958333333332,0.5865325,61.814,0.93716,0.93716
ct_054_R,1.982987,1.6034477499999995,1.49585925,4.205,2.82369,2.82369
ct_055_L,1.834668,1.52309225,0.9737525,27.834,1.90704,1.90704
ct_055_R,1.8177575,1.3879322500000002,0.8858820000000002,43.911,1.51753,1.51753
ct_056_L,1.9851870000000005,1.5904365,1.0046935,35.616,1.70049,1.70049
ct_056_R,1.795004,1.6235007499999998,1.15370175,-0.539,3.02825,3.02826
ct_057_L,1.8112715,1.5026082500000002,0.6617385,38.03,1.43657,1.43658
ct_057_R,2.01528425,1.5629924999999998,0.94169975,43.146,1.50586,1.50586
ct_058_L,1.56418125,1.79179425,1.313412,-109.518,0.5,
ct_058_R,1.9920435714285711,1.57082525,1.401516,16.142,2.38425,2.38425
ct_059_L,1.803208,1.60664625,1.1341215000000002,4.387,2.78491,2.78491
ct_059_R,1.8736150000000005,1.557283,1.12230375,21.088,2.16427,2.16427
ct_060_L,2.02380175,1.7191645000000002,1.3705935,7.64,2.67055,2.67055
ct_060_R,1.9601885714285716,1.67990825,0.8870604999999999,27.787,1.7918,1.7918
ct_061_L,2.301924,1.70942325,1.31865775,40.249,1.6769,1.6769
ct_061_R,2.0593307500000004,1.7881589999999996,0.9926455,23.331,1.95107,1.95107
ct_062_L,2.1233160714285715,1.4365472499999998,0.7834917499999999,64.008,1.07404,1.07405
ct_062_R,2.08680175,1.7203085000000002,1.2244565000000005,23.774,2.07702,2.07702
ct_063_L,2.0699975000000004,1.46489625,1.29583125,40.026,1.71631,1.71631
ct_064_L,2.1001145,1.55775625,1.15235875,42.669,1.60678,1.60678
ct_064_R,1.80348775,1.6981257499999998,0.390185525,15.51,1.57116,1.57117
ct_065_L,2.0301295,1.7284022499999998,1.00770075,26.059,1.90283,1.90283
ct_065_R,2.3065182500000003,1.67409025,1.0979802500000004,50.977,1.38345,1.38345
ct_066_L,1.9391961111111116,1.80907075,1.05086325,2.896,2.81882,2.81882
ct_066_R,1.97777875,1.6226535000000002,1.60902675,-9.072,3.42976,3.42976
ct_067_L,1.670696875,1.41231675,0.7279182500000001,31.32,1.6852,1.6852
ct_067_R,2.130413125,1.5331249999999998,1.14003,47.408,1.50434,1.50434
ct_068_L,1.7772962500000002,1.47032475,0.6532245000000001,38.416,1.43391,1.43391
ct_068_R,1.8544447222222225,1.3328765,1.2331615,33.465,1.88508,1.88508
ct_069_L,1.8026534999999997,1.3661305,1.19614575,27.259,2.04335,2.04335
ct_069_R,1.95242075,1.217782,0.99753675,62.397,1.22528,1.22528
ct_070_L,1.568425,1.5446015000000002,1.1112624999999998,-31.08,6.74031,6.74031
ct_070_R,1.71117125,1.4392305,1.265418,0.06,2.99734,2.99734
ct_071_L,2.1927340000000006,1.60764425,1.26382125,41.443,1.65511,1.65511
ct_071_R,2.77018725,1.6892449999999997,1.40443775,64.294,1.1912,1.1912
ct_072_L,1.7244882499999998,1.34655775,1.03898175,30.521,1.91974,1.91975
ct_072_R,1.7581702500000005,1.2159545,0.64103,62.073,1.0934,1.0934
ct_073_L,2.7779545,1.9311277499999997,1.7746495,40.335,1.7143,1.7143
ct_073_R,2.63934875,1.5360012500000002,1.7232452500000002,52.458,1.43968,1.43968
